student_id,carrera,semestre,horas_sueno,horas_estudio,asistencia_pct,actividad_fisica_min,cafe_tazas,estres_escala,uso_redes_horas,promedio_previo,calificacion_final,aprobacion,beca,trabaja,genero,grupo
STU-00082,Matematicas,5,6.8,4.7,73.2,27,5,7,4.0,87.1,76.3,1,no,17.0,hombre,E
STU-00083,Estadistica,4,8.0,8.2,79.2,37,3,5,1.6,71.6,79.0,1,no,0.0,mujer,B
STU-00084,Matematicas,6,5.5,5.8,64.1,49,2,6,2.4,66.6,54.9,0,no,27.0,mujer,D
STU-00085,Estadistica,6,7.1,6.2,98.3,60,2,5,2.4,79.6,74.5,1,no,0.0,mujer,E
STU-00086,Actuaria,6,7.2,6.2,84.3,102,1,7,3.9,79.7,70.3,1,no,10.3,mujer,C
STU-00087,Actuaria,6,7.5,6.5,98.1,15,1,7,3.5,90.3,77.7,1,si,9.4,hombre,E
STU-00088,Estadistica,1,8.1,5.1,77.7,62,6,5,9.0,87.2,71.4,1,si,0.0,mujer,A
STU-00089,Economia,4,7.4,9.7,88.5,84,1,6,3.4,74.0,80.8,1,no,0.0,mujer,C
STU-00090,Ciencia de Datos,5,6.2,5.6,85.2,93,0,2,1.3,96.2,84.8,1,si,0.0,hombre,A
STU-00091,Ciencia de Datos,9,7.0,9.2,74.8,111,2,6,5.0,99.2,91.4,1,si,0.0,mujer,C
STU-00092,Ciencia de Datos,9,8.6,8.7,100.0,97,3,6,3.6,84.2,79.3,1,no,0.0,hombre,A
STU-00093,Ciencia de Datos,1,7.5,6.6,82.9,49,1,3,1.2,79.5,63.9,0,no,0.0,mujer,B
STU-00094,Ciencia de Datos,8,8.2,10.4,90.4,67,0,6,4.6,84.5,73.3,1,si,0.0,hombre,B
STU-00095,Estadistica,8,7.8,9.1,87.2,56,1,7,4.9,100.0,92.9,1,no,0.0,mujer,C
STU-00096,Actuaria,9,7.7,12.5,99.8,76,1,6,0.9,90.1,99.7,1,si,0.0,no_binario,A
STU-00097,Matematicas,3,6.2,7.2,94.4,67,0,5,1.1,84.3,86.2,1,no,12.4,mujer,A
STU-00098,Estadistica,9,6.7,9.9,87.1,61,0,6,0.6,85.0,83.5,1,no,22.6,mujer,D
STU-00099,Actuaria,3,6.6,4.3,67.9,62,1,5,2.1,86.4,67.3,0,no,23.7,mujer,B
STU-00100,Actuaria,4,7.8,5.6,66.3,19,0,6,1.7,85.2,62.8,0,si,18.0,hombre,A
STU-00101,Matematicas,6,7.1,6.0,81.6,89,3,6,3.7,89.9,58.5,0,si,18.8,hombre,A
STU-00102,Economia,7,7.9,2.0,51.2,64,5,8,0.1,61.6,43.3,0,si,30.6,mujer,D
STU-00103,Matematicas,9,5.1,10.1,82.4,27,2,7,0.9,76.4,68.1,0,si,19.0,no_binario,F
STU-00104,Matematicas,4,6.7,8.4,100.0,51,4,5,2.7,95.3,87.1,1,si,0.0,hombre,B
STU-00105,Economia,5,6.7,4.4,79.4,66,1,8,5.8,80.4,65.5,0,no,18.2,hombre,E
STU-00106,Economia,7,8.0,9.7,70.3,28,5,8,1.7,76.2,75.3,1,no,0.0,mujer,C
STU-00107,Ciencia de Datos,9,7.2,6.4,66.7,40,0,8,0.8,77.2,67.8,0,no,28.8,hombre,F
STU-00108,Economia,3,8.9,4.5,59.6,12,1,4,0.6,77.1,54.8,0,no,0.0,hombre,D
STU-00109,Ciencia de Datos,4,8.2,8.6,78.8,78,1,4,1.4,79.3,88.2,1,si,0.0,hombre,C
STU-00110,Actuaria,9,7.1,8.4,79.5,36,0,7,4.2,88.1,91.0,1,no,0.0,hombre,E
STU-00111,Ciencia de Datos,2,7.7,8.2,100.0,36,0,7,3.5,94.4,91.7,1,no,10.3,hombre,C
STU-00112,Actuaria,9,7.6,10.8,99.6,99,0,4,2.2,71.9,84.2,1,no,0.0,hombre,B
STU-00113,Economia,3,6.7,1.6,72.4,19,1,6,5.2,89.3,64.7,0,si,0.0,mujer,B
STU-00114,Ciencia de Datos,9,7.0,8.9,73.8,45,1,7,0.9,94.7,84.9,1,si,23.4,hombre,B
STU-00115,Economia,6,7.4,6.4,73.5,63,1,5,1.5,90.5,79.9,1,no,2.0,hombre,A
STU-00116,Ciencia de Datos,4,6.8,3.0,66.2,41,1,7,6.3,81.8,50.2,0,no,17.7,prefiere_no_decir,B
STU-00117,Actuaria,7,6.2,7.2,87.5,67,2,8,2.6,71.3,60.0,0,no,19.1,hombre,B
STU-00118,Estadistica,8,4.7,9.8,67.3,52,5,7,5.4,92.1,63.3,0,no,20.9,hombre,B
STU-00119,Economia,6,6.3,6.0,69.5,42,2,8,2.6,83.9,68.8,0,no,24.9,mujer,E
STU-00120,Estadistica,6,5.7,7.4,68.8,78,2,7,2.8,61.2,61.0,0,no,12.4,mujer,B
STU-00121,Estadistica,3,5.5,4.0,78.4,25,1,6,0.8,93.1,69.9,0,si,0.0,hombre,D
STU-00122,Actuaria,2,5.7,0.5,76.6,58,1,6,6.2,56.9,43.6,0,no,21.7,hombre,E
STU-00123,Ciencia de Datos,4,6.8,4.1,49.9,29,1,7,0.1,84.3,61.5,0,si,0.0,mujer,E
STU-00124,Economia,8,6.0,12.2,70.6,34,4,7,0.8,87.2,83.6,1,no,18.3,mujer,E
STU-00125,Estadistica,7,5.0,7.2,68.5,15,6,8,4.1,82.4,56.0,0,si,0.0,hombre,B
STU-00126,Actuaria,3,7.3,10.4,100.0,116,0,5,6.2,75.8,82.3,1,si,0.0,mujer,F
STU-00127,Estadistica,7,6.5,13.3,96.8,57,1,7,1.5,82.8,93.9,1,si,8.8,mujer,D
STU-00128,Estadistica,2,6.3,3.5,62.1,40,1,4,2.9,95.6,74.2,1,no,0.0,hombre,C
STU-00129,Estadistica,8,7.2,7.4,81.2,29,0,7,2.0,78.5,79.4,1,no,0.0,mujer,E
STU-00130,Estadistica,2,9.1,5.1,71.4,28,3,5,2.1,80.4,66.1,0,no,13.3,hombre,C
STU-00131,Estadistica,6,7.8,7.8,84.5,54,1,6,3.7,78.4,68.5,0,si,0.0,hombre,C
STU-00132,Estadistica,9,7.3,6.5,90.9,52,2,7,4.1,67.4,75.8,1,no,0.0,mujer,B
STU-00133,Estadistica,8,10.4,10.8,76.6,47,0,5,4.9,91.9,76.7,1,no,0.0,mujer,B
STU-00134,Matematicas,6,6.3,3.6,76.0,88,1,7,6.5,100.0,65.8,0,no,16.7,mujer,D
STU-00135,Estadistica,3,8.1,8.5,81.8,76,2,7,0.1,81.8,84.6,1,no,7.5,hombre,D
STU-00136,Actuaria,3,7.2,7.7,75.8,7,0,2,1.4,94.5,87.6,1,no,0.0,mujer,F
STU-00137,Matematicas,3,7.2,2.7,79.0,47,1,5,2.5,84.8,62.4,0,no,0.0,mujer,D
STU-00138,Ciencia de Datos,5,8.2,12.1,77.6,21,0,7,2.5,75.0,83.4,1,no,0.0,hombre,B
STU-00139,Estadistica,7,7.8,10.8,95.7,64,2,5,2.3,92.0,94.1,1,no,0.0,mujer,C
STU-00140,Matematicas,2,5.9,0.6,64.1,16,4,7,3.0,86.1,54.7,0,si,20.0,hombre,B
STU-00141,Ciencia de Datos,6,7.4,6.6,100.0,94,0,2,0.1,80.8,83.3,1,no,0.0,mujer,E
STU-00142,Estadistica,2,8.5,3.1,75.9,27,1,7,0.7,83.1,62.6,0,si,26.6,mujer,E
STU-00143,Estadistica,6,7.2,4.1,81.7,141,1,6,4.2,86.7,81.0,1,si,29.0,mujer,F
STU-00144,Economia,8,8.1,8.6,86.6,50,0,5,4.5,96.2,83.4,1,si,0.0,hombre,B
STU-00145,Estadistica,2,8.0,6.5,85.8,26,1,4,1.2,85.2,81.8,1,no,0.0,hombre,A
STU-00146,Estadistica,9,7.5,9.0,65.4,19,1,6,1.2,83.8,74.1,1,no,0.0,hombre,A
STU-00147,Ciencia de Datos,8,6.3,7.0,67.0,80,2,9,0.5,86.1,58.8,0,si,28.9,mujer,A
STU-00148,Matematicas,3,5.5,6.0,81.9,48,0,7,3.9,80.2,69.7,0,no,0.0,mujer,A
STU-00149,Actuaria,5,6.5,6.4,77.2,45,0,5,0.1,77.8,74.6,1,si,29.3,hombre,F
STU-00150,Ciencia de Datos,9,6.3,10.0,83.8,34,1,6,3.5,74.7,72.1,1,si,0.0,mujer,E
STU-00151,Actuaria,4,7.4,5.3,65.2,41,2,6,3.5,80.2,62.4,0,si,13.1,mujer,A
STU-00152,Estadistica,2,9.2,8.4,100.0,123,0,4,0.6,74.9,74.0,1,no,0.0,hombre,C
STU-00153,Estadistica,6,8.0,7.4,62.7,35,0,7,2.7,86.0,76.8,1,si,0.0,hombre,F
STU-00154,Actuaria,6,9.2,1.8,65.0,56,1,5,3.1,72.7,54.9,0,si,13.0,prefiere_no_decir,C
STU-00155,Actuaria,5,7.2,7.5,68.3,5,0,6,1.6,71.5,69.5,0,si,15.5,mujer,D
STU-00156,Ciencia de Datos,3,7.8,3.6,85.3,142,0,2,1.8,85.4,79.1,1,no,0.0,no_binario,D
STU-00157,Matematicas,2,7.0,2.5,74.9,93,1,6,2.2,67.4,50.8,0,no,0.0,hombre,B
STU-00158,Estadistica,3,7.9,7.3,76.9,42,1,6,1.1,74.6,57.6,0,si,0.0,hombre,A
STU-00159,Actuaria,3,7.8,5.5,59.4,23,0,7,1.5,76.4,53.5,0,no,0.0,mujer,A
STU-00160,Ciencia de Datos,3,8.5,7.3,82.4,207,1,2,2.4,83.9,83.2,1,no,0.0,no_binario,E
STU-00161,Matematicas,7,6.8,8.0,90.1,29,6,6,9.0,77.8,67.6,0,no,0.0,mujer,B
STU-00162,Actuaria,4,7.6,3.1,76.1,56,3,6,6.0,67.3,62.4,0,no,0.0,mujer,B
STU-00163,Estadistica,1,7.0,8.0,94.8,118,0,4,0.1,86.8,90.9,1,no,0.0,mujer,B
STU-00164,Matematicas,5,6.3,9.2,81.9,60,3,6,2.5,70.1,64.3,0,no,0.0,mujer,B
STU-00165,Matematicas,4,6.0,5.8,84.2,117,3,5,1.8,82.9,71.7,1,no,8.7,hombre,A
STU-00166,Economia,9,5.7,3.4,80.7,58,2,7,1.1,85.0,57.6,0,no,23.7,mujer,B
STU-00167,Ciencia de Datos,9,7.4,5.4,88.2,59,1,8,2.1,79.8,71.4,1,no,14.2,hombre,A
STU-00168,Economia,6,7.1,9.4,71.5,33,1,6,4.1,81.6,71.9,1,si,0.0,hombre,A
STU-00169,Matematicas,4,7.8,9.6,82.4,129,1,5,2.7,91.6,81.6,1,no,0.0,hombre,A
STU-00170,Economia,6,8.1,8.4,78.7,36,0,6,0.9,80.8,81.8,1,si,0.0,mujer,D
STU-00171,Estadistica,4,7.6,4.5,84.2,19,0,6,0.6,86.3,70.4,1,no,0.0,hombre,C
STU-00172,Actuaria,9,6.6,10.3,100.0,142,1,5,3.3,94.9,84.4,1,si,0.0,mujer,A
STU-00173,Ciencia de Datos,1,5.9,9.0,76.1,8,2,6,1.7,78.3,73.4,1,no,0.0,hombre,B
STU-00174,Matematicas,7,6.2,7.4,84.3,52,0,5,0.6,73.4,80.9,1,si,0.0,mujer,C
STU-00175,Ciencia de Datos,6,6.7,5.2,70.3,18,2,5,3.8,84.1,82.2,1,no,0.0,mujer,D
STU-00176,Estadistica,9,5.8,8.6,66.6,26,1,10,5.2,77.7,65.4,0,no,19.1,mujer,F
STU-00177,Actuaria,7,7.2,7.3,79.1,38,4,6,2.8,81.6,77.3,1,si,15.2,mujer,E
STU-00178,Ciencia de Datos,8,4.9,1.8,75.4,45,2,9,4.8,78.6,46.0,0,no,24.3,mujer,D
STU-00179,Actuaria,6,8.5,6.5,69.4,19,1,5,6.8,81.7,62.2,0,no,16.9,hombre,D
STU-00180,Actuaria,1,6.1,4.3,70.0,101,1,6,1.0,83.5,68.3,0,no,23.5,mujer,F
STU-00181,Estadistica,4,8.0,6.9,90.0,43,0,4,2.2,94.1,88.7,1,no,0.0,hombre,F
STU-00182,Economia,1,6.2,6.9,60.9,0,3,8,0.2,80.8,69.6,0,no,20.9,mujer,E
STU-00183,Matematicas,1,6.9,10.3,100.0,91,1,4,1.7,94.1,88.4,1,si,0.0,prefiere_no_decir,D
STU-00184,Ciencia de Datos,3,7.7,8.9,70.6,76,1,7,1.4,87.8,79.5,1,si,11.9,no_binario,E
STU-00185,Estadistica,9,6.9,11.3,77.6,9,1,7,5.0,100.0,99.0,1,si,0.0,mujer,E
STU-00186,Ciencia de Datos,4,7.2,8.7,93.1,40,1,6,4.5,82.3,80.7,1,si,0.0,mujer,B
STU-00187,Estadistica,9,6.8,6.7,74.8,68,1,7,3.3,91.4,82.5,1,no,0.0,hombre,E
STU-00188,Ciencia de Datos,8,9.2,6.9,83.8,113,2,5,1.0,96.9,79.2,1,si,25.9,hombre,C
STU-00189,Ciencia de Datos,5,6.8,6.5,99.6,123,0,6,1.5,75.6,75.2,1,no,5.9,mujer,C
STU-00190,Estadistica,5,7.2,7.5,100.0,129,2,4,4.6,75.3,90.9,1,si,0.0,mujer,C
STU-00191,Actuaria,7,8.7,9.0,86.7,53,1,6,1.6,69.4,59.8,0,no,0.0,hombre,F
STU-00192,Actuaria,9,7.1,8.1,75.8,63,0,6,1.0,82.5,71.9,1,si,0.0,mujer,F
STU-00193,Ciencia de Datos,4,6.6,5.6,80.9,18,1,8,4.6,90.9,74.7,1,no,0.0,hombre,C
STU-00194,Estadistica,6,6.7,9.1,87.3,149,2,6,2.4,89.5,94.7,1,no,20.3,mujer,E
STU-00195,Matematicas,7,6.9,2.9,69.3,55,0,9,2.4,81.2,49.9,0,si,26.2,hombre,D
STU-00196,Estadistica,3,5.6,6.4,88.3,48,4,7,0.5,70.4,58.7,0,si,0.0,mujer,C
STU-00197,Estadistica,8,8.8,11.9,94.8,29,0,4,2.0,85.3,86.0,1,si,0.0,mujer,E
STU-00198,Matematicas,8,6.5,9.2,83.8,7,2,6,3.5,78.1,84.9,1,no,0.0,hombre,B
STU-00199,Ciencia de Datos,8,7.4,8.2,90.8,45,1,5,2.1,91.2,83.5,1,no,0.0,mujer,F
STU-00200,Ciencia de Datos,9,7.4,8.6,74.3,0,4,8,3.7,89.6,72.1,1,si,12.0,hombre,A
STU-00201,Ciencia de Datos,6,8.2,9.7,70.3,25,1,5,0.3,81.6,73.7,1,no,0.0,mujer,A
STU-00202,Matematicas,1,8.7,4.4,76.5,12,0,7,3.8,92.4,79.8,1,si,0.0,hombre,B
STU-00203,Estadistica,1,6.8,6.1,82.2,44,3,7,2.5,67.4,70.2,1,no,23.4,hombre,F
STU-00204,Economia,5,7.6,7.3,82.9,18,4,6,1.8,73.9,72.5,1,si,0.0,hombre,A
STU-00205,Estadistica,3,6.8,6.8,66.1,41,1,7,4.5,83.6,77.0,1,si,0.0,hombre,F
STU-00206,Actuaria,7,7.5,12.6,97.7,55,0,7,3.6,81.5,81.1,1,no,18.5,mujer,A
STU-00207,Matematicas,4,6.5,6.8,79.5,47,1,5,2.0,86.4,84.4,1,si,0.0,hombre,B
STU-00208,Estadistica,1,6.7,6.7,76.2,13,0,6,1.8,85.5,84.2,1,no,0.0,mujer,B
STU-00209,Actuaria,3,5.8,8.1,97.0,21,3,7,1.3,100.0,81.5,1,si,11.9,mujer,F
STU-00210,Estadistica,9,6.8,8.9,96.5,69,1,7,2.2,85.1,85.2,1,no,0.0,mujer,C
STU-00211,Estadistica,5,5.3,7.6,67.0,22,0,8,2.1,94.6,62.1,0,si,0.0,mujer,A
STU-00212,Actuaria,7,8.6,9.3,83.8,93,2,5,0.1,100.0,91.5,1,no,0.0,mujer,D
STU-00213,Matematicas,4,5.1,6.9,57.6,0,4,7,0.1,62.9,36.5,0,no,23.0,hombre,C
STU-00214,Matematicas,7,7.4,5.7,81.4,40,4,5,3.1,57.8,64.1,0,no,0.0,mujer,A
STU-00215,Actuaria,3,8.5,3.5,80.7,118,0,7,4.8,80.2,56.2,0,si,0.0,hombre,A
STU-00216,Estadistica,2,9.1,3.5,73.7,50,1,4,1.6,79.5,54.5,0,si,0.0,mujer,A
STU-00217,Estadistica,3,7.0,10.1,94.1,70,2,7,3.3,92.3,80.1,1,si,0.0,mujer,A
STU-00218,Estadistica,5,6.6,7.8,77.0,28,1,9,9.0,91.2,83.6,1,si,17.3,hombre,C
STU-00219,Actuaria,3,6.4,2.9,85.3,39,3,4,0.6,70.2,63.4,0,no,0.0,hombre,A
STU-00220,Ciencia de Datos,9,7.7,9.1,65.5,14,1,6,2.8,76.8,77.8,1,si,23.1,hombre,D
STU-00221,Matematicas,5,8.5,7.4,80.0,41,0,3,0.9,80.9,78.9,1,no,0.0,mujer,A
STU-00222,Estadistica,9,7.1,8.9,77.1,81,2,7,5.0,84.8,81.7,1,si,20.2,mujer,E
STU-00223,Estadistica,7,8.2,7.9,81.7,100,0,3,5.8,100.0,86.0,1,no,0.0,mujer,B
STU-00224,Ciencia de Datos,7,6.0,7.3,91.2,71,0,5,0.5,93.5,90.9,1,si,21.4,mujer,A
STU-00225,Matematicas,5,7.6,5.2,71.9,13,0,7,3.7,78.0,75.9,1,si,0.0,mujer,B
STU-00226,Estadistica,3,5.0,2.1,67.7,26,1,5,0.7,70.1,53.9,0,no,17.3,mujer,C
STU-00227,Actuaria,8,8.6,4.3,74.2,0,2,8,4.0,91.9,70.2,1,no,16.5,mujer,B
STU-00228,Estadistica,2,7.7,8.5,76.4,61,1,7,2.9,79.7,74.9,1,no,0.0,mujer,E
STU-00229,Economia,6,6.7,9.0,71.6,27,1,5,1.7,89.3,83.0,1,no,0.0,mujer,E
STU-00230,Matematicas,9,7.5,7.7,52.4,40,3,7,0.8,79.8,62.6,0,si,26.2,hombre,D
STU-00231,Actuaria,2,6.4,9.1,76.1,69,3,6,1.2,99.6,88.6,1,si,17.1,mujer,D
STU-00232,Actuaria,9,7.6,8.1,92.5,84,1,8,2.6,81.0,75.2,1,si,0.0,mujer,C
STU-00233,Ciencia de Datos,6,5.8,5.9,87.2,57,0,3,2.7,79.6,78.4,1,si,0.0,hombre,B
STU-00234,Economia,9,7.0,8.7,82.9,111,0,6,2.5,100.0,77.3,1,si,8.9,hombre,C
STU-00235,Actuaria,3,8.2,8.3,96.4,93,0,3,2.0,89.9,88.4,1,no,0.0,mujer,B
